alpha,rt_none,rt_uni,rt_tgt,rt_uni_exit,rt_tgt_exit,drop_man,drop_fin,drop_ser,drop_agg,ratio_fin_agg,t_rec_agg,t_rec_kl,lag,minM
-0.026524168534220124,36.04,71.44,13.56,40.4,12.68,4.892326962825803,20.055950150540433,2.2490563661578853,7.685407635189905,2.609614363031097,14.76,37.160000000000004,22.400000000000006,1.0
-0.02769052470629464,42.92,67.44,15.68,45.92,14.08,5.579316057841309,21.01240375916902,3.155670769227032,8.546872339125077,2.458490419118628,18.16,41.56,23.400000000000002,1.0
-0.024689790562222397,39.6,98.96000000000001,14.6,57.76,13.36,4.626324147093186,14.626029709373228,5.712693038096101,7.75878635355672,1.8850924671573772,21.56,31.32,9.760000000000002,1.0
-0.016228807594573985,33.6,120.0,13.96,61.64,13.040000000000001,7.3915490473424175,19.508000660401947,3.936543774675106,9.649618673708883,2.0216343588325385,19.240000000000002,31.48,12.239999999999998,1.0
-0.041544342469451066,47.6,71.0,16.080000000000002,51.96,14.24,6.433981723419054,19.060731090866042,4.817127927708427,9.293965258956845,2.0508717818260296,18.76,38.84,20.080000000000002,1.0
-0.0429803409042719,36.84,62.72,15.0,42.72,13.84,9.181456528186084,14.847282714040617,6.473639221453785,9.910907529181284,1.498074991651861,27.0,28.72,1.7199999999999989,1.0
-0.028012424374166112,47.68,63.68,14.92,48.88,13.52,6.547151572284779,19.700630668642532,4.990340873701958,9.104173843447734,2.163911960317087,16.48,49.32,32.84,1.0
-0.041083351747071443,42.44,54.44,18.44,44.160000000000004,15.6,5.183171936752969,29.511465123010804,3.843063375452426,11.059669286721768,2.668385858376638,20.080000000000002,40.28,20.2,1.0
-0.04225429833538734,49.72,70.12,13.6,52.04,12.72,6.293541160045482,12.362900360286421,5.133471744336285,7.623624989987646,1.6216564136513822,20.52,45.76,25.24,1.0
-0.025317450462295787,34.04,91.28,14.8,49.36,13.56,7.7140239723262685,16.661974611767448,4.177016157626134,9.027732074774418,1.8456434543870524,19.64,29.84,10.2,1.0
-0.02063099696686588,48.84,70.16,18.36,51.4,15.52,7.5568028196679045,24.409152439383146,4.989700577320164,10.795480131736923,2.2610529723105395,17.68,47.32,29.64,1.0
-0.04229990873332542,35.96,59.04,15.92,41.04,14.4,7.530271618827504,19.842820642774377,5.028271940558516,10.168962439543993,1.951312217027344,22.64,30.32,7.68,1.0
-0.01900427522940061,34.480000000000004,118.12,13.64,64.24,12.68,5.530224306207262,16.844890158885402,4.0969756577154595,8.15442085302321,2.065737158101209,20.44,32.04,11.599999999999998,1.0
-0.039064716742938696,44.160000000000004,68.4,13.0,48.120000000000005,12.24,5.1607469645774575,17.557384396990578,3.5887302718686933,7.962130121652305,2.205111462477212,16.04,42.2,26.160000000000004,1.0
-0.04155130744346246,48.88,56.120000000000005,23.56,49.68,41.6,7.461529082570058,22.049203948173684,2.1406037091416863,9.242982714387692,2.385507430826603,16.0,46.08,30.08,1.0
-0.026771350065521303,52.08,68.76,20.6,54.800000000000004,43.88,6.7327313171147125,26.246368915807945,6.546253996225057,11.617617555193267,2.259186859191744,18.04,44.800000000000004,26.760000000000005,1.0
-0.026400954925013584,40.92,68.32000000000001,14.64,44.12,13.4,7.785964042161135,17.967370144662645,3.2356550186215216,8.707206769896136,2.0635056246490135,18.64,41.08,22.439999999999998,1.0
-0.02221344689076303,38.68,99.76,12.4,52.88,11.84,4.821983245076541,14.43866320147553,3.4486890455350285,6.774258149114096,2.1314013850156783,16.56,39.160000000000004,22.600000000000005,1.0
-0.03600690464467521,33.8,80.0,12.72,47.56,12.120000000000001,7.314619447933206,12.651451028841047,3.391478470717952,7.490323505730026,1.6890393344376657,22.32,28.32,6.0,1.0
-0.0381429763112999,32.8,66.68,14.040000000000001,40.6,13.120000000000001,9.998253644549036,13.662636067428835,3.3838589082862565,8.679326666854607,1.5741585254078452,24.96,30.240000000000002,5.280000000000001,1.0
-0.031643870010590554,32.44,87.52,11.96,47.64,11.56,5.232111765812889,15.93064547542918,2.805224427156716,7.2977250879579305,2.1829604819886326,16.56,30.88,14.32,1.0
-0.034666362944759124,27.04,61.56,15.32,34.08,14.120000000000001,10.280077604822882,13.55514433124035,8.209908782368984,10.435117690249808,1.2989929518385577,32.96,26.96,-6.0,1.0
-0.03207552267874048,45.36,64.96000000000001,14.36,48.08,13.08,5.528480584840396,18.17954717068953,2.2243344264410205,7.192042012726622,2.5277309474166105,13.76,45.28,31.520000000000003,1.0
-0.048979235805992755,46.92,55.84,14.92,47.84,13.6,5.729803904782393,20.415349182489635,5.175605565576913,9.413933912100484,2.168631028548878,16.88,42.160000000000004,25.280000000000005,1.0
-0.011244050716786476,36.84,120.0,12.64,120.0,12.08,7.853824158275506,12.415820832639923,4.3976657949835625,7.925478113867257,1.5665705783624444,19.92,28.36,8.439999999999998,1.0
-0.049308979919969353,40.12,48.24,16.92,40.88,14.88,4.140557919358123,23.845407667273953,4.495189948687515,9.309903699373072,2.561294771381975,17.68,36.88,19.200000000000003,1.0
-0.02040600285383564,47.32,56.800000000000004,18.68,48.120000000000005,15.56,5.493466931295098,24.211565035343845,1.891328879684053,8.073750744951116,2.9988001611870962,13.84,49.88,36.040000000000006,1.0
-0.02807098777930756,37.480000000000004,68.96000000000001,15.48,44.160000000000004,14.120000000000001,5.595321347032899,20.7884259197646,4.959349330851903,9.64750919712915,2.1547972119011507,17.68,31.12,13.440000000000001,1.0
-0.03492749783686379,39.160000000000004,69.88,14.64,44.28,13.56,8.712345300229732,16.139405819645976,4.658393219235724,9.384749443865305,1.719748184667424,22.56,34.36,11.8,1.0
-0.03616340680130671,43.88,48.76,18.64,44.160000000000004,15.68,6.547095788212053,26.846867154934927,3.3431468843654595,10.2352488131082,2.6229813896221423,17.240000000000002,42.92,25.68,1.0
-0.01564622585896454,50.32,97.56,21.080000000000002,56.72,41.84,5.976349297437216,21.60775482715357,1.6574112247016972,8.110795758187027,2.6640733500584983,13.92,48.24,34.32,1.0
-0.032096284251906054,36.4,81.12,13.64,46.480000000000004,12.72,4.660413361364833,12.901834988240383,5.67241333082291,7.287764064506012,1.7703420245280552,19.76,33.92,14.16,1.0
-0.030620640567173105,51.6,75.68,16.88,55.68,14.4,5.869451236071629,18.750491767762732,2.655638728321558,7.850856330508583,2.388337141631028,13.6,45.08,31.479999999999997,1.0
